Seq,COPx,COPy
245,-2.243575,0.758469
246,-2.245595,0.758347
247,-2.246329,0.757682
248,-2.240352,0.755148
249,-2.237879,0.75447
250,-2.22949,0.752396
251,-2.22178,0.750579
252,-2.212884,0.747939
253,-2.208204,0.745961
254,-2.210782,0.745378
255,-2.218946,0.746228
256,-2.231264,0.748114
257,-2.239729,0.749052
258,-2.244225,0.749083
259,-2.24861,0.74905
260,-2.246261,0.747548
261,-2.239771,0.744628
262,-2.234447,0.743012
263,-2.220129,0.738411
264,-2.211582,0.736081
265,-2.205629,0.734227
266,-2.208227,0.735505
267,-2.21257,0.737388
268,-2.215866,0.739134
269,-2.221095,0.741482
270,-2.229823,0.745614
271,-2.233367,0.747452
272,-2.232651,0.748886
273,-2.232788,0.750836
274,-2.234292,0.752695
275,-2.236814,0.754453
276,-2.242335,0.756542
277,-2.254718,0.759957
278,-2.260535,0.760792
279,-2.262762,0.76089
280,-2.251437,0.757412
281,-2.234694,0.752578
282,-2.219779,0.748595
283,-2.206711,0.745266
284,-2.200227,0.743769
285,-2.197614,0.743094
286,-2.19638,0.742636
287,-2.204719,0.744212
288,-2.216758,0.746311
289,-2.231254,0.749298
290,-2.24188,0.751158
291,-2.245827,0.750988
292,-2.243414,0.749484
293,-2.238838,0.747557
294,-2.230742,0.744694
295,-2.226698,0.742488
296,-2.220217,0.739308
297,-2.220793,0.738075
298,-2.229612,0.738849
299,-2.242904,0.740721
300,-2.25819,0.743344
301,-2.272359,0.746427
302,-2.287414,0.749821
303,-2.288284,0.749197
304,-2.282115,0.746751
305,-2.264652,0.74035
306,-2.247059,0.733725
307,-2.233823,0.728191
308,-2.222206,0.723305
309,-2.217296,0.719888
310,-2.214882,0.718001
311,-2.221649,0.718926
312,-2.226117,0.719584
313,-2.229798,0.720552
314,-2.237722,0.722067
315,-2.242404,0.722867
316,-2.246805,0.723536
317,-2.247786,0.723612
318,-2.240207,0.721516
319,-2.229515,0.718968
320,-2.215688,0.715676
321,-2.204445,0.71318
322,-2.204493,0.713864
323,-2.209842,0.716074
324,-2.221935,0.719222
325,-2.237175,0.723437
326,-2.255183,0.728065
327,-2.262613,0.730068
328,-2.257813,0.729182
329,-2.2443,0.726546
330,-2.228387,0.723669
331,-2.214451,0.721843
332,-2.205575,0.721881
333,-2.197502,0.72181
334,-2.198874,0.724358
335,-2.212048,0.730232
336,-2.227175,0.736831
337,-2.244271,0.743931
338,-2.254999,0.749675
339,-2.26174,0.754608
340,-2.266666,0.759119
341,-2.268912,0.76268
342,-2.256692,0.76138
343,-2.241229,0.758291
344,-2.231693,0.755762
345,-2.230863,0.755096
346,-2.232727,0.754939
347,-2.235229,0.754368
348,-2.244282,0.755908
349,-2.248241,0.755942
350,-2.242485,0.753651
351,-2.23581,0.75192
352,-2.234851,0.752591
353,-2.231404,0.75238
354,-2.227976,0.752491
355,-2.232412,0.754464
356,-2.236842,0.756023
357,-2.245268,0.758375
358,-2.246132,0.758067
359,-2.244821,0.757899
360,-2.243435,0.758362
361,-2.242651,0.759599
362,-2.243202,0.76105
363,-2.24757,0.76363
364,-2.243367,0.762501
365,-2.244905,0.763168
366,-2.244709,0.762528
