Seq,COPx,COPy
0,0.004617,0.064044
1,0.004765,0.064415
2,0.005077,0.06485
3,0.005501,0.065458
4,0.005985,0.066312
5,0.006528,0.067501
6,0.00694,0.068847
7,0.007359,0.070085
8,0.007756,0.070978
9,0.0082,0.07155
10,0.008663,0.071854
11,0.009192,0.072129
12,0.009642,0.07241
13,0.009899,0.072433
14,0.010006,0.072137
15,0.009888,0.071367
16,0.009718,0.070078
17,0.009484,0.068501
18,0.009135,0.066871
19,0.008703,0.065322
20,0.00825,0.063945
21,0.00771,0.062745
22,0.007221,0.061655
23,0.006751,0.060514
24,0.006287,0.059363
25,0.005895,0.058299
26,0.005679,0.057467
27,0.005456,0.056907
28,0.005208,0.05665
29,0.004957,0.056374
30,0.004784,0.055986
31,0.004646,0.055487
32,0.004592,0.054811
33,0.004556,0.054211
34,0.004465,0.053741
35,0.004302,0.053395
36,0.004071,0.053037
37,0.003758,0.052545
38,0.003499,0.052046
39,0.00325,0.051531
40,0.003041,0.051098
41,0.002882,0.050814
42,0.002715,0.050779
43,0.002624,0.051019
44,0.002525,0.051439
45,0.002427,0.05199
46,0.002471,0.052475
47,0.0026,0.052848
48,0.002838,0.053417
49,0.003072,0.054483
50,0.003299,0.055929
51,0.003597,0.057587
52,0.003807,0.059173
53,0.003885,0.060526
54,0.003886,0.061555
55,0.00381,0.062184
56,0.003605,0.062396
57,0.003384,0.062413
58,0.003162,0.062618
59,0.002936,0.062981
60,0.002711,0.063561
61,0.002525,0.064453
62,0.002294,0.065323
63,0.002069,0.065917
64,0.001763,0.066232
65,0.001431,0.066271
66,0.00117,0.065957
67,0.000904,0.065462
68,0.000787,0.064967
69,0.000673,0.064408
70,0.000598,0.063829
71,0.000496,0.063106
72,0.000474,0.062176
73,0.000421,0.061185
74,0.000369,0.06032
75,0.000324,0.05956
76,0.000297,0.058939
77,0.000264,0.058569
78,0.000176,0.058333
79,0.000064,0.058131
80,-0.000067,0.057862
81,-0.000269,0.057244
82,-0.000416,0.056527
83,-0.000584,0.055836
84,-0.000671,0.055327
85,-0.00065,0.054969
86,-0.00052,0.054834
87,-0.000428,0.054834
88,-0.000363,0.054853
89,-0.000261,0.054697
90,-0.000083,0.054439
91,0.000107,0.053904
92,0.000317,0.053319
93,0.000558,0.052829
94,0.000723,0.052475
95,0.000905,0.052292
96,0.001155,0.052265
97,0.001362,0.052287
98,0.001475,0.052324
99,0.001497,0.052273
100,0.001442,0.052028
101,0.001286,0.051635
102,0.001085,0.051174
103,0.000911,0.050697
104,0.000652,0.05032
105,0.000418,0.05003
106,0.000152,0.049819
107,-0.000146,0.049653
108,-0.000457,0.049457
109,-0.00068,0.04939
110,-0.000763,0.049541
111,-0.000815,0.049796
112,-0.00081,0.05015
113,-0.000768,0.050469
114,-0.000752,0.050659
115,-0.000706,0.050621
116,-0.000631,0.050433
117,-0.000518,0.050312
118,-0.000359,0.050209
119,-0.000115,0.050157
120,0.000169,0.050068
121,0.000462,0.049839
122,0.000667,0.049396
123,0.000827,0.048861
124,0.001069,0.048267
125,0.001212,0.04773
126,0.00124,0.047291
127,0.00125,0.046975
128,0.001299,0.046697
129,0.001321,0.046373
130,0.001302,0.045962
131,0.001192,0.045469
132,0.001085,0.044908
133,0.000949,0.044393
134,0.000838,0.044054
135,0.000669,0.043933
136,0.000528,0.04399
137,0.000407,0.044188
138,0.00035,0.044449
139,0.000327,0.044722
140,0.000372,0.045011
141,0.000493,0.045361
142,0.000656,0.045691
143,0.000807,0.046009
144,0.00098,0.046349
145,0.001139,0.046687
146,0.001318,0.046905
147,0.00151,0.047057
148,0.001759,0.047196
149,0.002019,0.047352
150,0.002238,0.047496
151,0.002358,0.047625
152,0.002521,0.047727
153,0.00276,0.047874
154,0.003045,0.047973
155,0.003443,0.048244
156,0.003896,0.048663
157,0.004388,0.049183
158,0.004827,0.049843
159,0.005236,0.050522
160,0.005547,0.051234
161,0.005913,0.051838
162,0.006266,0.052148
163,0.006564,0.052247
164,0.006868,0.05221
165,0.007197,0.05207
166,0.00741,0.051984
167,0.007485,0.05197
168,0.007413,0.051954
169,0.007207,0.051927
170,0.006921,0.051828
171,0.006629,0.051602
172,0.006291,0.051202
173,0.005948,0.050829
174,0.005574,0.050577
175,0.005257,0.050412
176,0.004996,0.050412
177,0.004841,0.050555
178,0.004741,0.050856
179,0.004612,0.051171
180,0.004522,0.051457
181,0.004524,0.051667
182,0.004632,0.051846
183,0.004844,0.052086
184,0.005185,0.052555
185,0.005474,0.053165
186,0.005651,0.05381
187,0.0059,0.0544
188,0.006116,0.054976
189,0.006256,0.055508
190,0.006362,0.056121
191,0.006464,0.056949
192,0.006532,0.057985
193,0.006513,0.059204
194,0.006533,0.060563
195,0.006549,0.061952
196,0.00646,0.063239
197,0.006279,0.064439
198,0.006095,0.065327
199,0.005978,0.066017
200,0.005947,0.066662
201,0.005928,0.067218
202,0.00591,0.067646
203,0.005876,0.067756
204,0.005787,0.067495
205,0.005772,0.066835
206,0.005812,0.065892
207,0.005815,0.064913
208,0.005881,0.063942
209,0.006022,0.063047
210,0.006121,0.062174
211,0.00614,0.061206
212,0.006228,0.060335
213,0.006269,0.059539
214,0.006238,0.058884
215,0.00624,0.058397
216,0.006389,0.058048
217,0.006502,0.05776
218,0.006641,0.057643
219,0.006735,0.057637
220,0.006754,0.05774
221,0.006795,0.057871
222,0.00687,0.058107
223,0.006974,0.058408
224,0.007045,0.058756
225,0.007169,0.059132
226,0.007206,0.059397
227,0.007237,0.059441
228,0.007265,0.059269
229,0.00725,0.058898
230,0.007195,0.058537
231,0.00711,0.058146
232,0.007005,0.057654
233,0.006872,0.057137
234,0.006742,0.056619
235,0.006612,0.056064
236,0.006532,0.055513
237,0.006412,0.055127
238,0.006335,0.054836
239,0.006289,0.054723
240,0.006408,0.054873
241,0.00648,0.055228
242,0.006529,0.055678
243,0.006583,0.056215
244,0.006613,0.056684
245,0.006618,0.057163
246,0.006571,0.057642
247,0.006569,0.058134
248,0.00654,0.058593
249,0.006398,0.058931
250,0.006241,0.059167
251,0.006148,0.059255
252,0.006014,0.059289
253,0.005912,0.059355
254,0.005793,0.059564
255,0.005675,0.059851
256,0.005558,0.060175
257,0.005459,0.060464
258,0.005368,0.060607
259,0.00529,0.06057
260,0.005253,0.060312
261,0.00519,0.059938
262,0.005059,0.059486
263,0.00487,0.059107
264,0.004654,0.058715
265,0.004458,0.058344
266,0.004292,0.058028
267,0.004169,0.057749
268,0.004041,0.057448
269,0.003882,0.057154
270,0.003809,0.056859
271,0.003731,0.056553
272,0.003717,0.056229
273,0.003689,0.0559
274,0.00374,0.055606
275,0.003757,0.055423
276,0.003798,0.055275
277,0.003831,0.055202
278,0.003916,0.055175
279,0.003951,0.055237
280,0.003992,0.055283
281,0.004077,0.055322
282,0.004216,0.055403
283,0.004312,0.055559
284,0.004398,0.055776
285,0.004443,0.056009
286,0.00453,0.056296
287,0.004574,0.056618
288,0.004578,0.056884
289,0.004559,0.057064
290,0.004568,0.057236
291,0.004588,0.057338
292,0.004596,0.05743
293,0.004579,0.057521
294,0.004609,0.057595
295,0.004666,0.057636
296,0.004685,0.057577
297,0.004652,0.05739
298,0.00468,0.057104
299,0.004717,0.056741
300,0.004801,0.056306
301,0.004876,0.055808
302,0.004947,0.055201
303,0.004934,0.0545
304,0.004894,0.053785
305,0.004945,0.053269
306,0.004976,0.052815
307,0.005042,0.052459
308,0.005161,0.052121
309,0.005225,0.051791
310,0.005329,0.051478
311,0.005454,0.051239
312,0.005625,0.051091
313,0.005794,0.051047
314,0.005951,0.051149
315,0.006173,0.051334
316,0.006378,0.051587
317,0.006599,0.051853
318,0.006786,0.052105
319,0.007042,0.052435
320,0.007235,0.052835
321,0.007392,0.053275
322,0.007491,0.053749
323,0.007524,0.054248
324,0.007516,0.054705
325,0.007555,0.055178
326,0.007565,0.055616
327,0.007522,0.056017
328,0.007449,0.056511
329,0.007336,0.05707
330,0.00716,0.057751
331,0.007058,0.058424
332,0.006971,0.059082
333,0.006927,0.059687
334,0.006876,0.060251
335,0.006811,0.060838
336,0.006767,0.061442
337,0.006827,0.06211
338,0.006859,0.062792
339,0.006889,0.063442
340,0.006946,0.064026
341,0.006937,0.064419
342,0.006937,0.064609
343,0.006977,0.064595
344,0.007039,0.064387
345,0.007092,0.064015
346,0.007145,0.063523
347,0.007184,0.063036
348,0.007226,0.062642
349,0.00728,0.062322
350,0.007369,0.062067
351,0.007454,0.061884
352,0.007602,0.061729
353,0.007723,0.061534
354,0.007869,0.061417
355,0.007989,0.061266
356,0.008114,0.061139
357,0.008244,0.061085
358,0.008354,0.0611
359,0.008438,0.061194
360,0.008466,0.061345
361,0.008469,0.061487
362,0.008428,0.061551
363,0.008436,0.06148
364,0.008394,0.061306
365,0.008453,0.061192
366,0.008475,0.061164
367,0.008466,0.06124
368,0.00845,0.061372
369,0.008401,0.061538
370,0.008304,0.061679
371,0.00811,0.061733
372,0.007836,0.061625
373,0.007589,0.061383
374,0.007317,0.061063
375,0.007046,0.060747
376,0.006817,0.060475
377,0.006558,0.060192
