Seq,COPx,COPy
0.000000,-0.017186,0.028212
1.000000,-0.017324,0.026894
2.000000,-0.017501,0.025602
3.000000,-0.017683,0.024373
4.000000,-0.017888,0.023233
5.000000,-0.018152,0.022297
6.000000,-0.018430,0.021469
7.000000,-0.018701,0.020804
8.000000,-0.018992,0.020296
9.000000,-0.019269,0.019988
10.000000,-0.019493,0.019847
11.000000,-0.019624,0.019911
12.000000,-0.019683,0.020181
13.000000,-0.019698,0.020622
14.000000,-0.019651,0.021199
15.000000,-0.019564,0.021900
16.000000,-0.019434,0.022698
17.000000,-0.019252,0.023645
18.000000,-0.019001,0.024709
19.000000,-0.018729,0.025892
20.000000,-0.018452,0.027199
21.000000,-0.018168,0.028589
22.000000,-0.017919,0.030058
23.000000,-0.017644,0.031630
24.000000,-0.017397,0.033280
25.000000,-0.017177,0.035016
26.000000,-0.016974,0.036985
27.000000,-0.016756,0.039144
28.000000,-0.016541,0.041576
29.000000,-0.016280,0.044235
30.000000,-0.016068,0.047198
31.000000,-0.015924,0.050398
32.000000,-0.015712,0.053734
33.000000,-0.015345,0.057125
34.000000,-0.014951,0.060550
35.000000,-0.014582,0.063837
36.000000,-0.014231,0.066856
37.000000,-0.013873,0.069618
38.000000,-0.013489,0.072115
39.000000,-0.013113,0.074384
40.000000,-0.012806,0.076399
41.000000,-0.012574,0.078061
42.000000,-0.012448,0.079423
43.000000,-0.012435,0.080354
44.000000,-0.012558,0.080894
45.000000,-0.012752,0.081094
46.000000,-0.012954,0.081061
47.000000,-0.013142,0.080915
48.000000,-0.013322,0.080700
49.000000,-0.013450,0.080361
50.000000,-0.013558,0.080004
51.000000,-0.013655,0.079690
52.000000,-0.013692,0.079464
53.000000,-0.013649,0.079271
54.000000,-0.013623,0.079037
55.000000,-0.013735,0.079024
56.000000,-0.013801,0.079324
57.000000,-0.013836,0.079790
58.000000,-0.013826,0.080266
59.000000,-0.013797,0.080631
60.000000,-0.013664,0.080956
61.000000,-0.013551,0.081259
62.000000,-0.013517,0.081471
63.000000,-0.013566,0.081613
64.000000,-0.013679,0.081675
65.000000,-0.013828,0.081849
66.000000,-0.013973,0.082221
67.000000,-0.014121,0.082733
68.000000,-0.014310,0.083257
69.000000,-0.014581,0.083728
70.000000,-0.014878,0.084239
71.000000,-0.015207,0.084738
72.000000,-0.015585,0.085022
73.000000,-0.015999,0.084913
74.000000,-0.016431,0.084526
75.000000,-0.016830,0.083967
76.000000,-0.017236,0.083291
77.000000,-0.017631,0.082485
78.000000,-0.017913,0.081725
79.000000,-0.018160,0.081060
80.000000,-0.018440,0.080459
81.000000,-0.018732,0.079806
82.000000,-0.019067,0.079049
83.000000,-0.019422,0.078121
84.000000,-0.019808,0.076898
85.000000,-0.020162,0.075385
86.000000,-0.020472,0.073668
87.000000,-0.020840,0.072073
88.000000,-0.021344,0.070860
89.000000,-0.021811,0.070046
90.000000,-0.022207,0.069562
91.000000,-0.022582,0.069335
92.000000,-0.023030,0.069442
93.000000,-0.023449,0.069654
94.000000,-0.023854,0.069879
95.000000,-0.024218,0.070078
96.000000,-0.024556,0.070270
97.000000,-0.024869,0.070469
98.000000,-0.025254,0.070589
99.000000,-0.025714,0.070710
100.000000,-0.026203,0.070934
101.000000,-0.026678,0.071197
102.000000,-0.027088,0.071550
103.000000,-0.027366,0.071964
104.000000,-0.027585,0.072435
105.000000,-0.027814,0.072897
106.000000,-0.028004,0.073332
107.000000,-0.028207,0.073758
108.000000,-0.028436,0.074161
109.000000,-0.028662,0.074543
110.000000,-0.028953,0.075022
111.000000,-0.029182,0.075559
112.000000,-0.029352,0.076026
113.000000,-0.029484,0.076391
114.000000,-0.029512,0.076654
115.000000,-0.029476,0.076897
116.000000,-0.029398,0.077102
117.000000,-0.029311,0.077341
118.000000,-0.029182,0.077616
119.000000,-0.029013,0.077918
120.000000,-0.028739,0.078296
121.000000,-0.028475,0.078692
122.000000,-0.028288,0.079076
123.000000,-0.028196,0.079573
124.000000,-0.028012,0.080153
125.000000,-0.027734,0.080787
126.000000,-0.027333,0.081493
127.000000,-0.026878,0.082231
128.000000,-0.026392,0.082965
129.000000,-0.025940,0.083707
130.000000,-0.025477,0.084576
131.000000,-0.024960,0.085560
132.000000,-0.024427,0.086541
133.000000,-0.023893,0.087412
134.000000,-0.023350,0.088115
135.000000,-0.022841,0.088724
136.000000,-0.022255,0.089248
137.000000,-0.021617,0.089752
138.000000,-0.020910,0.090078
139.000000,-0.020204,0.090182
140.000000,-0.019586,0.090065
141.000000,-0.019124,0.089731
142.000000,-0.018831,0.089269
143.000000,-0.018613,0.088746
144.000000,-0.018390,0.088295
145.000000,-0.018199,0.088070
146.000000,-0.018098,0.088182
147.000000,-0.018031,0.088390
148.000000,-0.017951,0.088470
149.000000,-0.017841,0.088312
150.000000,-0.017759,0.087929
151.000000,-0.017763,0.087249
152.000000,-0.017783,0.086356
153.000000,-0.017864,0.085422
154.000000,-0.017972,0.084478
155.000000,-0.018109,0.083319
156.000000,-0.018218,0.081723
157.000000,-0.018393,0.079642
158.000000,-0.018648,0.077186
159.000000,-0.018977,0.074530
160.000000,-0.019479,0.071797
161.000000,-0.020023,0.069176
162.000000,-0.020538,0.066715
163.000000,-0.021029,0.064472
164.000000,-0.021450,0.062401
165.000000,-0.021792,0.060423
166.000000,-0.022065,0.058633
167.000000,-0.022132,0.056926
168.000000,-0.022051,0.055415
169.000000,-0.021795,0.054130
170.000000,-0.021394,0.053046
171.000000,-0.021035,0.052101
172.000000,-0.020705,0.051208
173.000000,-0.020403,0.050392
174.000000,-0.020101,0.049656
175.000000,-0.019801,0.049006
176.000000,-0.019472,0.048382
177.000000,-0.019126,0.047764
178.000000,-0.018844,0.047253
179.000000,-0.018645,0.046840
180.000000,-0.018547,0.046543
181.000000,-0.018511,0.046268
182.000000,-0.018484,0.045963
183.000000,-0.018519,0.045610
184.000000,-0.018619,0.045198
185.000000,-0.018733,0.044756
186.000000,-0.018889,0.044386
187.000000,-0.019098,0.044048
188.000000,-0.019275,0.043792
189.000000,-0.019525,0.043676
190.000000,-0.019850,0.043704
191.000000,-0.020100,0.043933
192.000000,-0.020311,0.044324
193.000000,-0.020432,0.044885
194.000000,-0.020512,0.045539
195.000000,-0.020543,0.046296
196.000000,-0.020603,0.047072
197.000000,-0.020727,0.047775
198.000000,-0.020876,0.048432
199.000000,-0.021091,0.048946
200.000000,-0.021365,0.049336
201.000000,-0.021651,0.049639
202.000000,-0.021904,0.049898
203.000000,-0.022185,0.050190
204.000000,-0.022472,0.050575
205.000000,-0.022735,0.050967
