Seq,COPx,COPy
0.000000,-0.015627,0.054875
1.000000,-0.015565,0.054777
2.000000,-0.015547,0.054716
3.000000,-0.015532,0.054650
4.000000,-0.015513,0.054605
5.000000,-0.015491,0.054588
6.000000,-0.015459,0.054536
7.000000,-0.015412,0.054488
8.000000,-0.015375,0.054438
9.000000,-0.015347,0.054368
10.000000,-0.015309,0.054330
11.000000,-0.015280,0.054294
12.000000,-0.015250,0.054270
13.000000,-0.015219,0.054272
14.000000,-0.015144,0.054247
15.000000,-0.015042,0.054234
16.000000,-0.014937,0.054210
17.000000,-0.014832,0.054179
18.000000,-0.014704,0.054161
19.000000,-0.014536,0.054174
20.000000,-0.014391,0.054133
21.000000,-0.014279,0.054096
22.000000,-0.014179,0.054080
23.000000,-0.014043,0.054072
24.000000,-0.013942,0.054074
25.000000,-0.013868,0.054092
26.000000,-0.013801,0.054108
27.000000,-0.013748,0.054188
28.000000,-0.013721,0.054259
29.000000,-0.013725,0.054322
30.000000,-0.013776,0.054422
31.000000,-0.013793,0.054576
32.000000,-0.013840,0.054743
33.000000,-0.013880,0.054933
34.000000,-0.013898,0.055110
35.000000,-0.013915,0.055232
36.000000,-0.013895,0.055350
37.000000,-0.013848,0.055439
38.000000,-0.013829,0.055460
39.000000,-0.013812,0.055473
40.000000,-0.013816,0.055419
41.000000,-0.013803,0.055343
42.000000,-0.013783,0.055290
43.000000,-0.013765,0.055217
44.000000,-0.013799,0.055157
45.000000,-0.013874,0.055078
46.000000,-0.013944,0.055030
47.000000,-0.014031,0.054999
48.000000,-0.014097,0.054924
49.000000,-0.014190,0.054852
50.000000,-0.014312,0.054749
51.000000,-0.014432,0.054627
52.000000,-0.014574,0.054494
53.000000,-0.014747,0.054341
54.000000,-0.014925,0.054237
55.000000,-0.015104,0.054175
56.000000,-0.015258,0.054102
57.000000,-0.015455,0.054061
58.000000,-0.015615,0.054055
59.000000,-0.015756,0.054064
60.000000,-0.015954,0.054086
61.000000,-0.016137,0.054091
62.000000,-0.016307,0.054099
63.000000,-0.016436,0.054093
64.000000,-0.016512,0.054085
65.000000,-0.016600,0.054032
66.000000,-0.016645,0.053962
67.000000,-0.016705,0.053858
68.000000,-0.016747,0.053759
69.000000,-0.016758,0.053662
70.000000,-0.016791,0.053556
71.000000,-0.016833,0.053460
72.000000,-0.016867,0.053375
73.000000,-0.016901,0.053313
74.000000,-0.016909,0.053250
75.000000,-0.016908,0.053192
76.000000,-0.016954,0.053102
77.000000,-0.016968,0.053002
78.000000,-0.017027,0.052875
79.000000,-0.017095,0.052712
80.000000,-0.017163,0.052532
81.000000,-0.017271,0.052339
82.000000,-0.017417,0.052154
83.000000,-0.017530,0.051978
84.000000,-0.017615,0.051793
85.000000,-0.017730,0.051615
86.000000,-0.017857,0.051447
87.000000,-0.017932,0.051241
88.000000,-0.018041,0.051029
89.000000,-0.018090,0.050827
90.000000,-0.018153,0.050644
91.000000,-0.018205,0.050474
92.000000,-0.018219,0.050317
93.000000,-0.018181,0.050207
94.000000,-0.018168,0.050124
95.000000,-0.018180,0.050075
96.000000,-0.018162,0.050048
97.000000,-0.018162,0.050031
98.000000,-0.018155,0.050049
99.000000,-0.018111,0.050082
100.000000,-0.018062,0.050135
101.000000,-0.017988,0.050212
102.000000,-0.017911,0.050296
103.000000,-0.017833,0.050409
104.000000,-0.017747,0.050531
105.000000,-0.017661,0.050630
106.000000,-0.017563,0.050760
107.000000,-0.017475,0.050915
108.000000,-0.017385,0.051070
109.000000,-0.017260,0.051169
110.000000,-0.017144,0.051239
111.000000,-0.017026,0.051287
112.000000,-0.016964,0.051368
113.000000,-0.016903,0.051429
114.000000,-0.016844,0.051526
115.000000,-0.016740,0.051614
116.000000,-0.016617,0.051744
117.000000,-0.016495,0.051868
118.000000,-0.016377,0.052000
119.000000,-0.016221,0.052133
120.000000,-0.016112,0.052264
121.000000,-0.015989,0.052399
122.000000,-0.015891,0.052492
123.000000,-0.015796,0.052594
124.000000,-0.015717,0.052693
125.000000,-0.015596,0.052769
126.000000,-0.015443,0.052860
127.000000,-0.015271,0.052948
128.000000,-0.015101,0.053041
129.000000,-0.014945,0.053160
130.000000,-0.014763,0.053309
131.000000,-0.014588,0.053439
132.000000,-0.014427,0.053564
133.000000,-0.014231,0.053738
134.000000,-0.014116,0.053888
135.000000,-0.014001,0.054026
136.000000,-0.013908,0.054167
137.000000,-0.013883,0.054340
138.000000,-0.013866,0.054508
139.000000,-0.013779,0.054589
140.000000,-0.013674,0.054649
141.000000,-0.013636,0.054705
142.000000,-0.013619,0.054813
143.000000,-0.013631,0.054903
144.000000,-0.013668,0.054968
145.000000,-0.013711,0.055040
146.000000,-0.013777,0.055117
147.000000,-0.013806,0.055208
148.000000,-0.013817,0.055306
149.000000,-0.013843,0.055404
150.000000,-0.013874,0.055507
151.000000,-0.013913,0.055584
152.000000,-0.013963,0.055600
153.000000,-0.014025,0.055608
154.000000,-0.014130,0.055661
155.000000,-0.014181,0.055562
156.000000,-0.014193,0.055455
157.000000,-0.014199,0.055433
158.000000,-0.014162,0.055401
159.000000,-0.014141,0.055302
160.000000,-0.014140,0.055231
161.000000,-0.014136,0.055135
162.000000,-0.014148,0.055055
163.000000,-0.014180,0.054998
164.000000,-0.014250,0.054885
165.000000,-0.014306,0.054749
166.000000,-0.014378,0.054614
167.000000,-0.014452,0.054511
168.000000,-0.014537,0.054441
169.000000,-0.014611,0.054357
170.000000,-0.014667,0.054261
171.000000,-0.014744,0.054197
172.000000,-0.014844,0.054188
173.000000,-0.014949,0.054235
174.000000,-0.015021,0.054208
175.000000,-0.015092,0.054158
176.000000,-0.015190,0.054182
177.000000,-0.015284,0.054255
178.000000,-0.015345,0.054298
179.000000,-0.015399,0.054377
180.000000,-0.015430,0.054417
181.000000,-0.015443,0.054421
182.000000,-0.015468,0.054414
183.000000,-0.015479,0.054371
184.000000,-0.015483,0.054330
185.000000,-0.015453,0.054342
186.000000,-0.015438,0.054371
187.000000,-0.015420,0.054372
188.000000,-0.015410,0.054345
189.000000,-0.015398,0.054273
190.000000,-0.015381,0.054185
191.000000,-0.015330,0.054097
192.000000,-0.015273,0.053993
193.000000,-0.015244,0.053888
194.000000,-0.015246,0.053777
195.000000,-0.015256,0.053693
196.000000,-0.015271,0.053580
197.000000,-0.015326,0.053461
198.000000,-0.015384,0.053352
199.000000,-0.015417,0.053224
200.000000,-0.015483,0.053074
201.000000,-0.015524,0.052949
202.000000,-0.015609,0.052785
203.000000,-0.015700,0.052572
204.000000,-0.015799,0.052358
205.000000,-0.015898,0.052148
206.000000,-0.015975,0.051957
207.000000,-0.016024,0.051791
208.000000,-0.016071,0.051630
209.000000,-0.016121,0.051485
210.000000,-0.016151,0.051345
211.000000,-0.016187,0.051208
212.000000,-0.016184,0.051066
213.000000,-0.016160,0.050927
214.000000,-0.016134,0.050787
215.000000,-0.016090,0.050663
216.000000,-0.016038,0.050551
217.000000,-0.015983,0.050422
218.000000,-0.015908,0.050271
219.000000,-0.015813,0.050107
220.000000,-0.015738,0.049944
221.000000,-0.015702,0.049854
222.000000,-0.015680,0.049774
223.000000,-0.015635,0.049672
224.000000,-0.015611,0.049577
225.000000,-0.015581,0.049498
226.000000,-0.015579,0.049466
227.000000,-0.015573,0.049437
228.000000,-0.015562,0.049405
229.000000,-0.015538,0.049335
230.000000,-0.015565,0.049304
231.000000,-0.015547,0.049278
232.000000,-0.015576,0.049234
233.000000,-0.015608,0.049251
234.000000,-0.015640,0.049273
235.000000,-0.015664,0.049319
236.000000,-0.015693,0.049400
237.000000,-0.015733,0.049495
238.000000,-0.015810,0.049579
239.000000,-0.015882,0.049654
240.000000,-0.015943,0.049726
241.000000,-0.015991,0.049789
242.000000,-0.016004,0.049870
243.000000,-0.016048,0.049994
244.000000,-0.016064,0.050152
245.000000,-0.016076,0.050277
246.000000,-0.016097,0.050419
247.000000,-0.016109,0.050602
248.000000,-0.016104,0.050822
249.000000,-0.016116,0.051036
250.000000,-0.016091,0.051222
251.000000,-0.016037,0.051388
252.000000,-0.015976,0.051562
253.000000,-0.015945,0.051757
254.000000,-0.015902,0.051985
255.000000,-0.015873,0.052218
256.000000,-0.015838,0.052428
257.000000,-0.015806,0.052641
258.000000,-0.015760,0.052828
259.000000,-0.015716,0.052993
260.000000,-0.015684,0.053167
261.000000,-0.015650,0.053281
262.000000,-0.015656,0.053375
263.000000,-0.015670,0.053468
264.000000,-0.015709,0.053540
265.000000,-0.015762,0.053660
266.000000,-0.015828,0.053781
267.000000,-0.015880,0.053882
268.000000,-0.015930,0.053974
269.000000,-0.015969,0.054054
270.000000,-0.016004,0.054138
271.000000,-0.016037,0.054227
272.000000,-0.016040,0.054312
273.000000,-0.016059,0.054430
274.000000,-0.016071,0.054562
275.000000,-0.016103,0.054683
276.000000,-0.016156,0.054822
277.000000,-0.016212,0.054964
278.000000,-0.016247,0.055110
279.000000,-0.016302,0.055261
280.000000,-0.016358,0.055396
281.000000,-0.016399,0.055527
282.000000,-0.016443,0.055658
283.000000,-0.016490,0.055813
284.000000,-0.016497,0.055975
285.000000,-0.016542,0.056158
286.000000,-0.016572,0.056333
287.000000,-0.016576,0.056487
288.000000,-0.016594,0.056664
289.000000,-0.016582,0.056831
290.000000,-0.016551,0.056994
291.000000,-0.016508,0.057133
292.000000,-0.016492,0.057277
293.000000,-0.016506,0.057412
294.000000,-0.016498,0.057554
295.000000,-0.016468,0.057708
296.000000,-0.016397,0.057858
297.000000,-0.016343,0.058010
298.000000,-0.016269,0.058192
299.000000,-0.016213,0.058411
300.000000,-0.016125,0.058702
301.000000,-0.016080,0.058958
302.000000,-0.016004,0.059190
303.000000,-0.015951,0.059391
304.000000,-0.015919,0.059556
305.000000,-0.015872,0.059738
